geocoded_address,event_date,year,CSA2010
"1347 PENTRIDGE ROAD, BALTIMORE, MD, 21239",6/26/05,2005,Northwood
"820 E PRESTON ST, BALTIMORE, MD, 21202",6/27/05,2005,Greenmount East
"800 N BENTALOU ST, BALTIMORE, MD, 21216",6/27/05,2005,Greater Rosemont
"1700 BOYD ST, MD, 21223",6/27/05,2005,Southwest Baltimore
"1938 W LEXINGTON ST, BALTIMORE, MD, 21223",6/28/05,2005,Southwest Baltimore
"1928 H W PRATT ST, BALTIMORE, MD, 21223",6/28/05,2005,Southwest Baltimore
"1500 PRESSTMAN ST, BALTIMORE, MD, 21217",6/28/05,2005,Sandtown-Winchester/Harlem Park
"2500 LAURETTA AVE, BALTIMORE, MD, 21223",6/29/05,2005,Greater Rosemont
"5400 CEDONIA AVE, BALTIMORE, MD, 21206",7/3/05,2005,Cedonia/Frankford
"2837 SPELMAN ROAD, BALTIMORE, MD, 21225",7/3/05,2005,Cherry Hill
"2408 E LAFAYETTE AVE, BALTIMORE, MD, 21213",7/4/05,2005,Clifton-Berea
"1800 E EAGER ST, BALTIMORE, MD, 21205",7/4/05,2005,Oldtown/Middle East
"1800 E EAGER ST, BALTIMORE, MD, 21205",7/4/05,2005,Oldtown/Middle East
"1400 EXETER HALL AVE, BALTIMORE, MD, 21218",7/4/05,2005,The Waverlies
"1500 POPLAR GROVE ST, MD, 21216",7/7/05,2005,Greater Rosemont
"2000 N PULASKI ST, BALTIMORE, MD, 21217",7/8/05,2005,Greater Mondawmin
"1 N CULVER ST, BALTIMORE, MD, 21229",7/13/05,2005,Allendale/Irvington/S. Hilton
"2800 PROSPECT ST, MD, 21216",7/14/05,2005,Greater Rosemont
"627 N PULASKI ST, BALTIMORE, MD, 21217",7/15/05,2005,Sandtown-Winchester/Harlem Park
"1 BENKERT AVE, MD, 21229",7/15/05,2005,Allendale/Irvington/S. Hilton
"444 WHITRIDGE AVE, BALTIMORE, MD, 21218",7/16/05,2005,Greater Charles Village/Barclay
"1333 POPLAR GROVE ST, BALTIMORE, MD, 21216",7/16/05,2005,Greater Rosemont
"6320 OAKLEAF AVE, BALTIMORE, MD, 21215",7/19/05,2005,Glen-Fallstaff
"200 E 22ND ST, BALTIMORE, MD, 21218",7/20/05,2005,Greater Charles Village/Barclay
"4800 LORELLY AVE, MD, 21206",7/22/05,2005,Claremont/Armistead
"3103 LAWNVIEW AVE, BALTIMORE, MD, 21213",7/22/05,2005,Belair-Edison
"1630 HAZEL ST, BALTIMORE, MD, 21226",7/23/05,2005,Brooklyn/Curtis Bay/Hawkins Point
"x=-76.654787, y=39.357301",7/24/05,2005,Mount Washington/Coldspring
"4100 EIERMAN AVE, BALTIMORE, MD, 21206",7/24/05,2005,Lauraville
"3840 ELMORA AVE, BALTIMORE, MD, 21213",7/27/05,2005,Belair-Edison
"2600 NORLAND ROAD, MD, 21230",7/27/05,2005,Westport/Mount Winans/Lakeland
