"","geocoded_address","event_date","year","CSA2010"
"196","4400 DAYTONA AVE, BALTIMORE, MD, 21215","8/24/16",2016,"Southern Park Heights"
"197","700 MURPHY LN, BALTIMORE, MD, 21201","8/26/16",2016,"Upton/Druid Heights"
"198","1100 EDWIGHT CT, BALTIMORE, MD, 21225","8/26/16",2016,"Brooklyn/Curtis Bay/Hawkins Point"
"199","200 S AUGUSTA AVE, BALTIMORE, MD, 21229","8/27/16",2016,"Allendale/Irvington/S. Hilton"
"200","x=-76.596741, y=39.316070","8/27/16",2016,"Midway/Coldstream"
"201","1 EXETER ST, MD, 21202","8/27/16",2016,"Harbor East/Little Italy"
"202","6100 SHIPVIEW WAY, BALTIMORE, MD, 21224","9/2/16",2016,"Southeastern"
"203","3700 BANCROFT ROAD, BALTIMORE, MD, 21215","9/2/16",2016,"Glen-Fallstaff"
"204","2300 WILKENS AVE, MD, 21223","9/4/16",2016,"Southwest Baltimore"
"205","3401 MONUMENT ST, MD, 21205","9/5/16",2016,"Orangeville/East Highlandtown"
"206","4600 YORK ROAD, BALTIMORE, MD, 21212","9/6/16",2016,"North Baltimore/Guilford/Homeland"
"207","1100 N STRICKER ST, BALTIMORE, MD, 21217","9/6/16",2016,"Sandtown-Winchester/Harlem Park"
"208","700 MURA ST, MD, 21202","9/7/16",2016,"Greenmount East"
"209","3200 BRENDAN AVE, BALTIMORE, MD, 21213","9/7/16",2016,"Belair-Edison"
"210","23 GORMAN AVE, BALTIMORE, MD, 21223","9/7/16",2016,"Southwest Baltimore"
"211","2200 E OLIVER ST, BALTIMORE, MD, 21213","9/7/16",2016,"Clifton-Berea"
"212","1900 CLIFTON AVE, MD, 21217","9/7/16",2016,"Greater Mondawmin"
"213","4400 PLAINFIELD AVE, MD, 21206","9/8/16",2016,"Cedonia/Frankford"
"214","3900 DOLFIELD AVE, BALTIMORE, MD, 21215","9/8/16",2016,"Dorchester/Ashburton"
"215","1800 E 29TH ST, BALTIMORE, MD, 21218","9/9/16",2016,"Midway/Coldstream"
"216","300 W LANVALE ST, BALTIMORE, MD, 21217","9/14/16",2016,"Midtown"
"217","1800 N CALVERT ST, BALTIMORE, MD, 21202","9/15/16",2016,"Midtown"
"218","700 MELLO CT, BALTIMORE, MD, 21205","9/16/16",2016,"Oldtown/Middle East"
"219","3600 FAIRVIEW AVE, BALTIMORE, MD, 21216","9/16/16",2016,"Forest Park/Walbrook"
"220","x=-76.651534, y=39.317525","9/16/16",2016,"Greater Mondawmin"
"221","2100 KIRK AVE, MD, 21218","9/18/16",2016,"Midway/Coldstream"
"222","1800 N MONTFORD AVE, BALTIMORE, MD, 21213","9/18/16",2016,"Clifton-Berea"
"223","5400 LOCH RAVEN BLVD, BALTIMORE, MD, 21239","9/19/16",2016,"Loch Raven"
"224","3100 REISTERSTOWN ROAD, BALTIMORE, MD, 21215","9/20/16",2016,"Greater Mondawmin"
"225","4600 PEN LUCY ROAD, MD, 21229","9/21/16",2016,"Beechfield/Ten Hills/West Hills"
"226","2300 REISTERSTOWN ROAD, BALTIMORE, MD, 21217","9/21/16",2016,"Greater Mondawmin"
"227","1800 N CALVERT ST, BALTIMORE, MD, 21202","9/23/16",2016,"Midtown"
"228","1000 NORTH AVE, MD, 21217","9/23/16",2016,"Penn North/Reservoir Hill"
"229","1 N CAREY ST, BALTIMORE, MD, 21223","9/24/16",2016,"Poppleton/The Terraces/Hollins Market"
"230","4300 PARK HEIGHTS AVE, BALTIMORE, MD, 21215","9/25/16",2016,"Southern Park Heights"
"231","100 N SMALLWOOD ST, BALTIMORE, MD, 21223","9/25/16",2016,"Southwest Baltimore"
"232","3200 VICKERS ROAD, BALTIMORE, MD, 21216","9/27/16",2016,"Greater Mondawmin"
"233","500 N BRICE ST, BALTIMORE, MD, 21223","9/28/16",2016,"Sandtown-Winchester/Harlem Park"
"234","600 YALE AVE, BALTIMORE, MD, 21229","10/2/16",2016,"Allendale/Irvington/S. Hilton"
"235","3400 LYNDALE AVE, BALTIMORE, MD, 21213","10/2/16",2016,"Belair-Edison"
"236","2600 ROBB ST, BALTIMORE, MD, 21218","10/3/16",2016,"Midway/Coldstream"
"237","2400 MARBOURNE AVE, BALTIMORE, MD, 21230","10/3/16",2016,"Westport/Mount Winans/Lakeland"
"238","400 N ROSE ST, BALTIMORE, MD, 21224","10/4/16",2016,"Patterson Park North & East"
"239","3300 CLIFTMONT AVE, BALTIMORE, MD, 21213","10/4/16",2016,"Belair-Edison"
"240","1100 MCCULLOH ST, MD, 21201","10/6/16",2016,"Upton/Druid Heights"
"241","2500 W LAFAYETTE AVE, BALTIMORE, MD, 21216","10/9/16",2016,"Greater Rosemont"
"242","3700 BEEHLER AVE, BALTIMORE, MD, 21215","10/10/16",2016,"Pimlico/Arlington/Hilltop"
"243","2300 PRESBURY ST, MD, 21216","10/10/16",2016,"Greater Rosemont"
"244","1 N MONROE ST, BALTIMORE, MD, 21223","10/10/16",2016,"Southwest Baltimore"
"245","600 N GLOVER ST, BALTIMORE, MD, 21205","10/11/16",2016,"Madison/East End"
"246","200 N GILMOR ST, BALTIMORE, MD, 21223","10/11/16",2016,"Southwest Baltimore"
"247","2400 PACA ST, MD, 21230","10/12/16",2016,"Westport/Mount Winans/Lakeland"
"248","2300 CALVERTON HEIGHTS AVE, BALTIMORE, MD, 21216","10/12/16",2016,"Greater Rosemont"
"249","2100 WILKENS AVE, BALTIMORE, MD, 21223","10/13/16",2016,"Southwest Baltimore"
"250","200 N MONASTERY AVE, BALTIMORE, MD, 21229","10/15/16",2016,"Allendale/Irvington/S. Hilton"
"251","300 COLLINS AVE, MD, 21229","10/16/16",2016,"Allendale/Irvington/S. Hilton"
"252","1800 MCKEAN AVE, MD, 21217","10/16/16",2016,"Sandtown-Winchester/Harlem Park"
"253","2000 CECIL AVE, BALTIMORE, MD, 21218","10/18/16",2016,"Midway/Coldstream"
